observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-7.8,-5.793030840677016,1
-5.24,-5.8665907313922805,0
-5.478,-5.844631156432115,0
-6.802,-5.696316826759823,0
-5.922,-5.734194890424677,0
-6.456,-5.684300638761256,0
-4.153,-5.539785793617536,0
-6.896,-5.532005870078303,0
-4.801,-6.070062174016719,0
-5.056,-5.691399359601268,0
-7.464,-5.536654552358481,0
-4.308,-6.049239370782785,0
-5.255,-5.957653600832129,0
-4.826,-5.626778074789244,0
-5.517,-5.802956491029188,0
-5.636,-5.760169337010514,0
-5.243,-5.798898127380641,0
-7.414,-5.767875261903299,0
-6.72,-5.799286699053162,0
-4.26,-5.621517493595999,0
-4.626,-6.230563207801551,0
-3.233,-5.924613241960654,0
-5.141,-5.831483226275756,0
-7.422,-5.6941451636348,0
-6.062,-5.863236517083932,0
-4.317,-6.173600130069792,0
-5.686,-5.915940112455586,0
-6.097,-6.085069258004295,0
-7.091,-5.64054155036815,0
-3.617,-5.91241276897516,0
-5.623,-5.654949832051304,0
-4.75,-5.793267000473245,0
-4.623,-6.272687093120688,0
-4.801,-5.60419539096423,0
-6.053,-5.831973322834554,0
-4.812,-5.827677290869118,0
-1.71,-5.566067746803181,0
-7.063,-5.592391593233655,0
-7.891,-6.181525194198284,1
-4.522,-5.610957798635506,0
-7.165,-6.072925553829223,0
-4.627,-5.509636052887064,0
-6.251,-5.753309300272853,0
-5.049,-5.665333998978604,0
-6.425,-6.01901752872645,0
-7.221,-5.57926656530224,0
-7.288,-5.872820836066403,0
-6.712,-5.338358286930782,0
-7.066,-5.9268614131529045,0
-6.9,-5.802865454016276,0
-5.631,-5.881329352745611,0
-6.768,-5.4514952475222795,0
-5.186,-6.280640464220034,0
-6.526,-6.286972187045163,0
-6.84,-5.732412846967637,0
-5.511,-5.944653327387911,0
-6.983,-5.782305620037061,0
-6.669,-5.612610762441573,0
-3.277,-5.796179374184883,0
-4.786,-5.556206583623886,0
-3.816,-6.067488657034165,0
-6.363,-5.5771702198318245,0
-6.279,-5.972962471560337,0
-6.86,-5.873734491365291,0
-5.932,-5.845117884793472,0
-8.19,-6.128054921983206,1
-7.383,-6.0976001915574525,0
-3.486,-5.628096853107538,0
-5.642,-5.730654445675061,0
-6.496,-6.196747392686971,0
-6.078,-5.833545866219877,0
-6.09,-5.913667379893009,0
-6.459,-5.915952690852174,0
-7.027,-6.244904652643623,0
-6.735,-5.621227146776575,0
-6.533,-5.8455556690592205,0
-5.966,-5.772303853962901,0
-4.523,-5.998309849280312,0
-6.218,-5.861987829619542,0
-7.986,-5.152442348393963,1
-6.63,-6.004405678353845,0
-6.713,-5.855049435601789,0
-5.05,-6.220684023632968,0
-5.637,-5.712793055606232,0
-6.506,-5.820329179023871,0
-5.148,-5.642420448500031,0
-6.036,-5.609207038935782,0
-6.852,-5.803630892706875,0
-2.958,-6.080035453107869,0
-6.78,-6.217684474728268,0
-6.073,-5.638360688051206,0
-6.449,-5.448986391732057,0
-7.231,-5.575463898269732,0
-2.174,-6.210872150845392,0
-8.315,-6.1272515493703255,1
-3.608,-5.877857297373443,0
-7.018,-6.010087615828795,0
-4.514,-6.155990423387051,0
-4.983,-5.886106052858341,0
-6.113,-5.892125799162686,0
-6.149,-5.730049456871761,0
-1.796,-5.5660212834799445,0
-6.091,-6.014174235701614,0
-4.817,-5.831733832380463,0
-4.677,-6.092590038773508,0
-6.573,-5.638420107263795,0
-2.605,-5.709024415807955,0
-7.081,-5.852823380844983,0
-5.301,-5.998664374381194,0
-3.47,-5.477681765764725,0
-7.991,-5.699106264686016,1
-6.539,-5.716263655764606,0
-4.127,-5.564629570499341,0
-6.561,-6.178935617588941,0
-4.435,-5.764376160601357,0
-4.27,-6.216836004726246,0
-7.565,-6.036935088400938,1
-4.78,-5.66951536968057,0
-6.85,-5.70422812079549,0
-5.608,-5.5065017269831955,0
-2.892,-5.443593256611379,0
-7.033,-5.921947907932509,0
-5.697,-5.619952580717656,0
-5.177,-6.1635982993264555,0
-4.601,-5.731420044136178,0
-5.199,-5.774898800678819,0
-6.559,-5.7697633604919165,0
-5.134,-5.724574883932282,0
-4.23,-5.473995863152592,0
-6.613,-5.9153833694713045,0
-7.327,-5.94426328602215,0
-5.076,-5.65049784103097,0
-7.51,-5.653798320022546,0
-6.251,-5.745474149447487,0
-6.603,-6.14858150042527,0
-3.646,-6.127453555977433,0
-7.881,-6.297215461568706,1
-9.151,-5.974607802069852,1
-6.813,-5.797539699748581,0
-4.839,-5.425333744698053,0
-7.913,-6.123618147914923,1
-3.565,-5.631877734936419,0
-4.069,-5.531064911271885,0
-5.438,-5.881297871972668,0
-11.201,-5.128848940231277,1
-4.061,-5.336940102403921,0
-7.205,-6.002427736194335,0
-5.169,-6.065029098682481,0
-4.304,-5.718405198193058,0
-7.925,-6.081380830114193,1
-7.075,-5.803130012450347,0
-3.283,-5.390826381740433,0
-5.807,-6.158384778357327,0
-6.398,-5.93612985539518,0
-5.386,-5.7076219561447115,0
-4.333,-5.902111978790317,0
-7.284,-6.169826497482235,0
-5.139,-5.865822883836157,0
-6.431,-5.809548696469883,0
-4.437,-5.776971148079653,0
-4.06,-5.266057568603042,0
-6.591,-6.0573004205685645,0
-4.5,-5.636432234164965,0
-6.781,-5.6670027018811755,0
-6.517,-5.523642620681108,0
-6.268,-6.032495576152935,0
-5.96,-5.948905271789214,0
-3.773,-5.618231778137012,0
-7.28,-5.590349676599723,0
-4.797,-5.69112765290162,0
-7.529,-5.928906211407073,0
-3.943,-5.553538075507677,0
-6.578,-5.9978793360986975,0
-6.138,-5.331439802163631,0
-5.24,-5.815724842617913,0
-7.618,-6.01684551649278,1
-7.556,-5.671140870493906,1
-4.808,-5.834421003961538,0
-6.028,-6.023385167663262,0
-5.403,-5.447109452208883,0
-3.867,-5.92848370981404,0
-5.276,-5.51888714945868,0
-2.719,-5.438251292931422,0
-6.607,-5.809644049494873,0
-6.5,-5.926651593860714,0
-5.227,-5.459453360099329,0
-5.656,-5.599466480985058,0
-4.737,-6.308808251322813,0
-7.311,-5.825128978806177,0
-5.809,-5.877311796241911,0
-7.773,-6.093367751738939,1
-5.651,-5.610066709627825,0
-2.584,-6.128906507518577,0
-1.885,-5.874027788809668,0
-6.07,-6.106432064363053,0
-6.315,-6.121527687166442,0
-6.704,-5.999232031132633,0
-1.38,-5.1825155284104545,0
-1.261,-5.598896332130934,0
-6.409,-5.780882830478703,0
-5.773,-5.9780560152745,0
-9.449,-6.374574903212683,1
-6.497,-6.301536605484966,0
-4.469,-5.757600796319689,0
-7.179,-5.540756622719608,0
-3.749,-5.9326848807101955,0
-6.021,-5.927941315311601,0
-6.153,-5.499629448652145,0
-5.981,-5.8302254820288155,0
-3.908,-5.490281812718618,0
-4.612,-5.998284940068499,0
-5.458,-5.4453157129640095,0
-7.655,-5.9466308128874275,1
-8.936,-6.106082713485501,1
-3.176,-5.363952012965393,0
-6.309,-6.177186888826511,0
-6.387,-5.783574558428266,0
-4.054,-5.446126015246261,0
-7.609,-5.916078468526494,1
-5.223,-5.984183596370817,0
-7.253,-5.7863575546954555,0
-3.672,-5.886980485466575,0
-3.951,-5.733985235686632,0
-5.866,-5.673069066413577,0
-5.564,-5.707631263783583,0
-5.024,-5.744542355336633,0
-6.699,-5.935126381826128,0
-5.023,-6.414384765491441,0
-6.31,-5.71319168997875,0
-4.341,-5.581760399258354,0
-6.232,-5.911547774591495,0
-6.931,-6.1549481940784405,0
-5.496,-5.8885224266123615,0
-5.641,-5.878059822272768,0
-5.534,-5.614524494130406,0
-6.189,-5.569240092159812,0
