observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-5.63,-6.093843332030436,0
-7.104,-5.89064082846109,0
-7.031,-5.227737849401275,0
-4.182,-5.346359888864804,0
-6.149,-5.793592782698971,0
-9.299,-5.933259670898952,1
-5.587,-5.4250914187526424,0
-2.522,-6.142249943825345,0
-1.442,-5.714861158755654,0
-4.998,-5.957625697947856,0
-7.627,-5.693457173711652,1
-5.018,-5.810704525691252,0
-5.681,-5.901460353754219,0
-5.574,-5.670363225743111,0
-6.147,-5.935190701014183,0
-6.315,-5.742341203163328,0
-6.145,-6.06874920766788,0
-6.228,-5.998878486022555,0
-5.312,-5.8535302962704385,0
-6.994,-6.140945352340444,0
-4.005,-5.883354608791652,0
-7.245,-5.898715938320864,0
-4.512,-6.113386719175262,0
-6.195,-5.902542859619175,0
-6.961,-5.875229530514229,0
-3.55,-5.515036799606468,0
-3.793,-6.0000977758640515,0
-6.765,-6.021966022462086,0
-4.867,-5.847313933672433,0
0.485,-5.235646800668896,0
-7.902,-5.862271769834241,1
-6.005,-5.891166510330175,0
-7.484,-6.197634227796223,0
-4.214,-5.517412137541494,0
-6.908,-5.852718843762639,0
-1.373,-5.251755658318826,0
-3.825,-5.909907707003046,0
-7.111,-5.841257325790133,0
-5.945,-5.923023859143672,0
-4.654,-5.8457850891534555,0
-8.326,-6.033056551584888,1
-5.264,-5.896435756105117,0
-4.08,-5.9493285106329825,0
-6.961,-5.76101153062792,0
-6.19,-5.39963260112897,0
-4.014,-5.844330230398038,0
-5.675,-5.941479157657762,0
-4.971,-5.390540026969714,0
-3.95,-5.893414509295363,0
-4.317,-5.663020663322779,0
-7.118,-5.939166450697455,0
-6.714,-5.885908101998241,0
-7.269,-5.850141862397983,0
-6.54,-6.021720161974118,0
-7.028,-5.99759099718962,0
-6.103,-6.2092787507206655,0
-6.511,-5.848988590043117,0
-6.623,-5.939106709016768,0
-5.152,-5.796605969113156,0
-5.562,-5.857298564049998,0
-4.032,-5.749645108423978,0
-4.597,-5.370424641157281,0
-6.616,-5.831635094162354,0
-8.071,-5.552590306691713,1
-8.5,-5.899729409907606,1
-4.514,-5.609984176765124,0
-6.391,-6.055492720560734,0
-8.398,-5.9336789937632135,1
-7.618,-5.9257459990781145,1
-7.677,-5.760796080777653,1
-4.772,-5.892347972861995,0
-7.191,-5.426390474110353,0
-7.229,-5.680740373424456,0
-6.031,-5.755339118951281,0
-3.968,-6.113927587214015,0
-6.168,-5.885189315563252,0
-6.236,-6.006828081098103,0
-5.868,-5.893569218383094,0
-4.137,-5.890912684861946,0
-7.667,-5.951582936550585,1
-6.215,-5.861316129137087,0
-7.952,-5.911504195082882,1
-5.875,-5.920057008882897,0
-6.291,-5.9352920891967695,0
-6.384,-5.933915743521415,0
-8.517,-5.876940005005867,1
-5.984,-5.38925678007893,0
-5.445,-5.8364994568371,0
-7.182,-5.928769675609955,0
-3.953,-5.843542932690878,0
-7.279,-5.924757771441582,0
-7.371,-5.9156450174142154,0
-3.581,-5.776510983564712,0
-4.27,-5.918879246805948,0
-5.079,-5.910532415480009,0
-6.305,-5.664440893633524,0
-6.281,-6.065302870200792,0
-6.761,-5.90489937949232,0
